"x" "y"
"1" -1.11 1
"2" -1.41 0
"3" -1.79 1
"4" -0.72 0
"5" -0.34 1
"6" 1.4 1
"7" -1.02 0
"8" 1.89 1
"9" -0.52 1
"10" -1.27 1
"11" -1.02 0
"12" -0.95 0
"13" -1.23 0
"14" -1.69 1
"15" -1.53 0
"16" 0.42 1
"17" -1.97 0
"18" -0.05 1
"19" 0.84 1
"20" -0.65 1
"21" 1.64 1
"22" -1.67 0
"23" -1 1
"24" -1.34 0
"25" -1.79 0
"26" 2 1
"27" 0.9 1
"28" 0.65 1
"29" 1.41 1
"30" -1.66 0
"31" -1.46 0
"32" 0.79 1
"33" -0.7 1
"34" 1.08 1
"35" 0.03 0
"36" 1.95 1
"37" -1.47 0
"38" 1.81 1
"39" 1.47 1
"40" 0.74 1
"41" -0.86 1
"42" 0.36 1
"43" -0.31 1
"44" 1.71 1
"45" 1.33 1
"46" 0.72 1
"47" 0.57 0
"48" 0.41 1
"49" 0.56 1
"50" 1.25 1
