"x" "y"
"1" 0.49 63
"2" 0.31 30
"3" -0.23 18
"4" -0.91 31
"5" 0.73 149
"6" 0.74 127
"7" 0.95 393
"8" -0.66 23
"9" -0.61 29
"10" -0.28 12
"11" -0.65 23
"12" 0 17
"13" -0.52 15
"14" -0.02 20
"15" -0.67 20
"16" -0.04 14
"17" -0.56 17
"18" -0.08 19
"19" 0.94 379
"20" 0.6 79
"21" 0.11 21
"22" -0.7 25
"23" -0.85 24
"24" 0.86 240
"25" -0.45 14
"26" 0.74 129
"27" -0.67 27
"28" -0.78 21
"29" 0.41 42
"30" 0.78 170
"31" 0.41 51
"32" 0.06 16
"33" -0.33 21
"34" 0.81 220
"35" 0.96 408
"36" 0.62 100
"37" 0.29 31
"38" -0.67 25
"39" -0.9 20
"40" -0.19 14
"41" 0.57 71
"42" 0.3 29
"43" 0.92 321
"44" 0.22 33
"45" -0.68 21
"46" 0.33 47
"47" 0.67 113
"48" -0.4 14
"49" -0.65 19
"50" 0.75 157
